# session id, start date (yyyy-mm-dd), end date (yyyy-mm-dd)
23_session1, 1833-12-02, 1834-06-30
23_session2, 1834-12-01, 1835-03-03
24_session1, 1835-12-07, 1836-07-04
24_session2, 1836-12-05, 1837-03-03
25_session1, 1837-09-04, 1837-10-16
25_session2, 1837-12-04, 1838-07-09
25_session3, 1838-12-03, 1839-03-03
26_session1, 1839-12-02, 1840-07-21
26_session2, 1840-12-07, 1841-03-03
27_session1, 1841-05-31, 1841-09-13
27_session2, 1841-12-06, 1842-08-31
27_session3, 1842-12-05, 1843-03-03
27_special1, 1841-03-04, 1841-03-14
28_session1, 1843-12-04, 1844-06-17
28_session2, 1844-12-02, 1845-03-03
29_session1, 1845-12-01, 1846-10-10
29_session2, 1846-12-07, 1847-03-03
29_special1, 1845-03-04, 1845-03-20
30_session1, 1847-12-06, 1848-08-14
30_session2, 1848-12-04, 1849-03-03
31_session1, 1849-12-03, 1850-09-30
31_session2, 1850-12-02, 1851-03-03
31_special1, 1849-03-05, 1849-03-23
32_session1, 1851-12-01, 1852-08-31
32_session2, 1852-12-06, 1853-03-03
32_special1, 1851-03-04, 1851-03-13
33_session1, 1853-12-05, 1854-08-07
33_session2, 1854-12-04, 1855-03-03
33_special1, 1853-03-04, 1853-04-11
34_session1, 1855-12-03, 1856-10-18
34_session2, 1856-10-21, 1856-10-30
34_session3, 1856-12-01, 1857-03-03
35_session1, 1857-12-07, 1858-06-14
35_session2, 1858-12-06, 1859-03-03
35_special1, 1857-03-04, 1857-03-14
35_special2, 1858-06-15, 1858-06-16
36_session1, 1859-12-05, 1860-06-25
36_session2, 1860-12-03, 1861-03-03
36_special1, 1859-03-04, 1859-03-10
36_special2, 1860-06-26, 1860-06-28
37_session1, 1861-07-04, 1861-08-06
37_session2, 1861-12-02, 1862-07-17
37_session3, 1862-12-01, 1863-03-03
37_special1, 1861-03-04, 1861-03-28
38_session1, 1863-12-07, 1864-07-04
38_session2, 1864-12-05, 1865-03-03
38_special1, 1863-03-04, 1863-03-14
39_session1, 1865-12-04, 1866-07-28
39_session2, 1866-12-03, 1867-03-03
39_special1, 1865-03-04, 1865-03-11
40_session1, 1867-03-04, 1867-12-01
40_session2, 1867-12-02, 1868-10-10
40_session3, 1868-12-07, 1869-03-03
40_trial, 1868-02-24, 1868-02-24
41_session1, 1869-03-04, 1869-04-10
41_session2, 1869-12-06, 1870-07-15
41_session3, 1870-12-05, 1871-03-03
41_special1, 1869-04-12, 1869-04-22
42_session1, 1871-03-04, 1871-04-20
42_session2, 1871-12-04, 1872-06-10
42_session3, 1872-12-02, 1873-03-03
42_special1, 1871-05-10, 1871-05-27
